Unnamed: 0,artist,seq,song,emotions,__index_level_0__,genre,predicted_emotions
55578,Gabrielle,"I've been alone for too long
I've been alone for too long
Did you want me just to welcome you
With open arms?
Did you want me to fall at your feet
Falling for your charms?

I've been alone for too long
I've been alone for too long
Always looking for rainbows
That's how I lived my life
Always searching for rainbows
'Cause I want colour in my life

You've been away for far too long
And I've been alone for too long
I've been chasing your picture
Around the corners of my mind
But you keep getting further
Further every time

Everyday I travel, travel in time
Try my best to reach you
I just don't know what I'll find
Everyday I travel
Everyday you lie
Everyday it's harder
Harder to forgive

You've been away for too long
I've been alone for too long
Looking out for shadows
Thinking of you
Chasing after shadows
What am I supposed to do?

I've been alone for too long
I've been alone for too long
Did you want me to just welcome you
With open arms?
Did you want me to fall at your feet
Falling for your charms?
I've been alone for too long
I've been alone for too long",Alone,['sadness'],35575,alternative rock,{'sadness': 0.8350851535797119}
30655,Bill Black,"Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can start to make it better

Hey Jude, don't be afraid
You were made to go out and get her
The minute you let her under your skin
Then you begin to make it better

And anytime you feel the pain, hey Jude, refrain
Don't carry the world upon your shoulders
For well you know that it's a fool who plays it cool
By making his world a little colder

Hey Jude, don't let me down
You have found her, now go and get her
Remember to let her into your heart
Then you can start to make it better

So let it out and let it in, hey Jude, begin
You're waiting for someone to perform with
And don't you know that it's just you, hey Jude, you'll do
The movement you need is on your shoulder

Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her under your skin
Then you'll begin to make it
Better better better better better better, oh

Na na na nananana, nannana, hey Jude",Hey Jude,['fear'],10652,rockabilly,{'fear': 0.6831692457199097}
43892,The Damned,"Maybe It's 'cause' of the way that I dress
They say I look out of place 
And my taste is a mess
And there ain't
No point in trying
'cause' I know what they're dying to do
Some stupid opinions
on the way that I am
They can look at me
and I don't give a damn, damn, damn
They got no sense of humour 
They only spread the rumour 
They say I'm just misguided 
I don't agree
I think I'm wonderful
I think I'm wonderful 
Sometimes I have a couple, over the eight
When I go over the top
Get in a hell of a state
And there ain't
No point in trying
'cause' I know what they're dying to do
Stick them, their feelings, what a way to behave
You say I'm crazy but you can't look away
It's just a noise they're making
Whose got the time to take it? 
They think I'm nothing special 
I don't agree
I think I'm wonderful
I think I'm wonderful
I think I'm wonderful
I think I'm wonderful 
The one mistreated
I won't be beaten
I can't be beaten now
And I'm mistrusted
I won't be busted
They call me bastard yeah
I think I'm wonderful
I think I'm wonderful
I think I'm wonderful
I think I'm wonderful 
Hey! hey! hey!........
I know I'm wonderful
I know I'm wonderful
I get up in the morning, kiss the mirror
Hello gorgeous
Hey baby, you want to have a good time?
Allright!",I Think I'm Wonderful,['anger'],23889,drama film,"{'fear': 0.4248541295528412, 'anger': 0.21741630136966705}"
46965,Faith Hill,"Just around the eyes
That's where you remind me
Of someone I left behind me
I'm sorry if I stare

But you must have stirred a memory 
And it caught me by surprise
But it was only for a moment
And just around the eyes
 
Something in your touch
Took me back a long way
And made me say the wrong name
I wish I could explain

But if I had to tell you
Where a small resemblance lies
It's something in your touch 
And just around the eyes

I'm over him completely
I rarely think about him at all
So when I look at you
Tell me, what should I do
With the little bit of him that I saw
 
Only when you smiled
You could have bowled me over
A memory out of nowhere
That came and went so fast

Don't tell me I still love him
That has to be a lie
It's just something in your touch
And only when you smile

And only for a moment
Just around the eyes",Just Around the Eyes,['surprise'],26962,country music,"{'fear': 0.5999545454978943, 'surprise': 0.32163679599761963}"
34794,Christopher West,"Our Father, which art in heaven,
Hallowed be thy Name.
Thy kingdom come.
Thy will be done in earth,
As it is in heaven.

Give us this day our daily bread.
And forgive us our debts,
As we forgive our debtors.
(As we forgive those who trespass against us.)

And lead us not into temptation;
But deliver us from evil:
For thine is the kingdom, and the power, and the glory, for ever.
(And ever.)
Amen.",The Lord's Prayer,['anger'],14791,Unknown,"{'anger': 0.47958657145500183, 'disgust': 0.2513619363307953}"
33141,American Hi-Fi,"Quick silver at lacks
Don't have to ask
Black satellite

And I'm ok but every time you call
I can't hear a sound
So I'll try to stay but when I feel a wave
I'm already gone

Quick silver at lacks
Don't have to ask
Black satellite
Just when I'm starting to crash
Fast forward back
Black Satellite

To where I stand but everything's the same
Now watch me walk away
Something's wrong
Nothing like before
And I'm already gone

I feel the same
I can't explain
No more to say
I can't explain
Back to nowhere

Quick silver at lacks
Don't have to ask
Black satellite
Just when I'm starting to crash
Reach you at last
Black Satellite

I think I'm starting to crash at last
I think I'm starting to crash




",Black Satellite,['fear'],13138,alternative rock,"{'fear': 0.4383849799633026, 'surprise': 0.2309098243713379}"
35961,Our Lady Peace,"Take all your pills and divide them
By color & size
Take all your problems and advise them
That everything's fine
Since you ran away you've been beating
Your habits to death
But if you were to stay would you feed them
This white happiness

Nobody wants to harm you
When you're outside
But it's hard to believe
When everyone's killing time
Somebody knows
That you're not laughing

Take all your pills and divide them
By number and might
Take all your problems chastise them
Because everything's fine
Since you've ran away you've been beating
Those ladders instead
But if you were to stay would you feed them
With violence",Consequence of Laughing,['anger'],15958,alternative rock,{'anger': 0.5723246335983276}
39790,Rod Stewart,"She sits alone waiting for suggestions
He's so nervous, avoiding all the questions
His lips are dry, her heart is gently pounding
Don't you just know exactly what they're thinking?

If you want my body and you think I'm sexy
Come on sugar let me know
If you really need me just reach out and touch me
Come on honey tell me so, tell me so baby

He's acting shy looking for an answer
Come on honey let's spend the night together
Now hold on a minute before we go much further
Give me a dime so I can phone my mother
They catch a cab to his high rise apartment
At last he can tell her exactly what his heart meant

If you want my body and you think I'm sexy
Come on honey tell me so
If you really need me just reach out and touch me
Come on sugar let me know

His heart's beating like a drum
'cause at last he's got this girl home
Relax baby, now we are all alone

They wake at dawn 'cause all the birds are singing
Two total strangers but that ain't what they're thinking
Outside it's cold, misty and it's raining
They got each other, neither one's complaining
He says, ""I'm sorry but I'm out of milk and coffee""
Never mind sugar, we can watch the early movie

If you want my body and you think I'm sexy
Come on sugar let me know
If you really need me just reach out and touch me
Come on honey tell me so
Sugar

If you really need me just reach out and touch me
Come on sugar let me know
If you really, really, really, really need me
Just let me know
Just reach out and touch me

If you really want me
Just reach out and touch me
Come on sugar let me know

If you really need me j-j-just reach out and touch me
Come on sugar let me know
If you, if you, if you really need me
Just come on and tell me so
Just reach out and tell me so",Da Ya Think I'm Sexy [Craig J.'s Gospel Love Mix],['fear'],19787,rock music,{'fear': 0.9105230569839478}
55971,Bob Marley,"No sun will shine in my day today
(No sun will shine)
The high yellow moon won't come out to play
(Won't come out to play)
Darkness has covered my light
(And the stage) and the stage my day into night
Now, where is this love to be found? 
Won't someone tell me 'cause life (sweet life)
Must be somewhere (sweet life) to be found (somewhere, somewhere for me)
Instead of a concrete jungle
Where the living is harder (in a concrete)
Concrete jungle (jungle)

Oh man, you've got to do your best, yeah
No chains around my feet but I'm not free
I know I am bound here in captivity
And I've never known happiness
And I've never known sweet caresses
Still, I be always laughing like a clown

Won't someone help me 'cause I (sweet life)
I've got to pick myself (sweet life) from off the ground, yeah (somewhere, somewhere for me)
In this here concrete jungle (la la-la)
I say, what do you got for me, now?
Concrete jungle (la la-la)
Oh, why won't you let me be, now? (concrete jungle)

I said that life (sweet life)
Must be somewhere (sweet life) to be found, yeah, yeah (somewhere, somewhere for me)
Instead of a concrete jungle (jungle)
Where the living is hardest (concrete jungle)
Concrete jungle (jungle)
Oh man, you've got to do your best, yeah (concrete jungle)
Concrete jungle (jungle)
You name it
In this concrete jungle
(Jungle, jungle)
Concrete jungle, you name it, we got it
Concrete jungle, now
(Jungle, jungle, now)",Concrete Jungle,['sadness'],35968,reggae,"{'fear': 0.30470290780067444, 'neutral': 0.2781290113925934, 'sadness': 0.1702682077884674}"
52423,Mandy Barnett,"Ever True Evermore will I be
Ever constant my heart like the sea
Ever lasting is my love
Like the sun that reigns above

And the stars that shine through all eternity
Ever True is the song that I sing
Evermore may the melody ring
And it's you the words are for

Words I never said before
I will be Ever True Evermore
Ever lasting is my love
Like the sun that reigns above

And the stars that shine through all eternity
And it's you the words are for
Words I've never said before
I will be Ever True Evermore

Ever True Evermore will I be
Ever constant my heart like the sea
Ever lasting is my love
Like the sun that reigns above

And the stars that shine through all eternity
Ever True is the song that I sing
More and more may the melody ring

And it's you the words are for
Words I never said before
I will be Ever True Evermore",Ever True Evermore,['joy'],32420,folk music,"{'neutral': 0.3498205244541168, 'joy': 0.3247647285461426, 'sadness': 0.22232116758823395}"
